ni_fornecedor;nome_fornecedor;porte_fornecedor;codigo_ibge;municipio;segmento;tipo_segmento;ano;mes;numero_controle_pncp;numero_item;numero_compra;link_pncp;descricao;quantidade;unidade_medida;valor_unitario_estimado;valor_unitario_homologado;valor_total_homologado_ajustado;situacao_item_nome
23868068000192;23.868.068 RINALDO JOSE KRAFT;Demais;3546603;Santa Fé do Sul;nao_classificado;indefinido;2026;8;45138070000149-1-000728/2026;1;DL 668;;SERVIÇO DE SUBSTITUIÇÃO DE MOTOR PARA PORTÃO ELETRÔNICO;1.0;UNIDADE;980.0;980.0;980.0;Homologado
40398718000100;40.398.718 MARCUS WEBER GONCALES;Demais;3546603;Santa Fé do Sul;nao_classificado;indefinido;2026;8;45138070000149-1-000765/2026;1;DL 707;;"LOCAÇÃO DE EQUIPAMENTO DE SOM: 04 CAIXAS DE
PEDESTAL DE 800WTS 01 MESA DE SOM DE 04 CANAIS 01 MICROFONE COM FIO 02
MICROFONES SEM FIO 01 TECNICA E SONOPLASTIA DURANTE AS RODADAS";1.0;SERVICOS;3750.0;3750.0;3750.0;Homologado
43277100000172;43.277.100 SIRLEI APARECIDA MUNIZ ALVES;ME;3546603;Santa Fé do Sul;nao_classificado;indefinido;2026;8;45138070000149-1-000747/2026;1;DL 677;;SERVIÇO DE ROÇADA E LIMPEZA DE ÁRVORE E DECORAÇÃO DE AMBIENTE;1.0;UNIDADE;8480.0;8480.0;8480.0;Homologado
44407006000153;44.407.006 ESLAN JHONSON EUZEBIO;Demais;3546603;Santa Fé do Sul;textil_uniforme;produto;2026;8;45138070000149-1-000738/2026;1;DL 685;;Serviço de confecção e instalação de arco de bexigas - cor azul, numeração 07;1.0;UNIDADE;400.0;400.0;400.0;Homologado
44769803000180;44.769.803 KATIA APARECIDA CONSTANTINO DA SILVA CAMPOS;Demais;3546603;Santa Fé do Sul;nao_classificado;indefinido;2026;8;45138070000149-1-000736/2026;1;IL 30;;Apresentação teatral “Crônicas das Estações”;2.0;UNIDADE;3400.0;3400.0;6800.0;Homologado
44769803000180;44.769.803 KATIA APARECIDA CONSTANTINO DA SILVA CAMPOS;Demais;3546603;Santa Fé do Sul;nao_classificado;indefinido;2026;8;45138070000149-1-000736/2026;2;IL 30;;Cortejo “Passos da Resistência – Pelo Fim da Violência Contra a Mulher;1.0;UNIDADE;4000.0;4000.0;4000.0;Homologado
44921024000159;44.921.024 JOSE ROBERTO FARIA;Demais;3546603;Santa Fé do Sul;madeira_construcao;produto;2026;8;45138070000149-1-000772/2026;1;DL 706;;Obras Civis - Pequenas Obras / Pintura em Geral Pintura das traves (gol), pintura das paredes da quadra, pintura da tabela de basquete (estrutura e/ou demarcações, conforme necessidade), reparo em pontos do cimento no piso da quadra, pintura das paredes da quadra, preparação das superfícies para pintura (limpeza e pequenos ajustes), aplicação de pintura e acabamento final, alvenaria reparo nos muros, assentamentos de tijolos.;1.0;UNIDADE;5000.0;5000.0;5000.0;Homologado
48360399000148;48.360.399 JAQUES CELIO ROCHA PASTLEN;Demais;3546603;Santa Fé do Sul;nao_classificado;indefinido;2026;8;45138070000149-1-000745/2026;1;DL 694;;SERVIÇO DE PLACA DO MOTOR;1.0;SERVICOS;250.0;250.0;250.0;Homologado
48360399000148;48.360.399 JAQUES CELIO ROCHA PASTLEN;Demais;3546603;Santa Fé do Sul;nao_classificado;indefinido;2026;8;45138070000149-1-000745/2026;2;DL 694;;SERVIÇO DE SOLDA;1.0;SERVICOS;60.0;60.0;60.0;Homologado
48360399000148;48.360.399 JAQUES CELIO ROCHA PASTLEN;Demais;3546603;Santa Fé do Sul;nao_classificado;indefinido;2026;8;45138070000149-1-000745/2026;3;DL 694;;SERVIÇO DE RECUPERAÇÃO DA CARENAGEM;1.0;SERVICOS;60.0;60.0;60.0;Homologado
